title,description,author,genre
The Saga of Discovery: Enchantress of Desire (Book 2),"A cold heart, an unknown past, and evil watching its prey. That's all I'd ever known. I had to make it out of the dark and figure out who I was before it was too late. Love was already out of reach.",Catherine Kopf,Fantasy / Adventure
An Acidental Evil,"Schizophrenia: (Noun) a long-term mental disorder of a type involving a breakdown in the relation between thought, emotion, and behavior, leading to faulty perception, inappropriate actions",Taylor1004,Romance / Drama
Into the Darkness: Book One,Kat knows all too well that freedom comes at a price and that she will have to become capable to do whatever is necessary to free herself and the Shadowlands.,penngrl,Romance / Fantasy
"THE ARMY, DEPRESSION, DRUGS & ME","How many times can you be knocked down and get back up again? What if everytime you tried to get out of the rut, someone else was there to slap you down? This is Victoria Prendergast's emotional tale",Victoria Prendergast,Drama
The Prophecy,Vampires and prophecies. God verses the Devil. Who will win?,katwomen021,Fantasy / Horror
The Last Grey Sky,"They had fought the unknown, resisted for as long as they could; but as always, they were never strong enough. The disease didn’t discriminate. It just infected.",Natalie Scrivener,Adventure / Action
A New Dream,A young Minnesota girl moves to New York City to attend the prestigious Julliard Academy to become a prima ballerina.,renthead621,Romance / Drama
Zero (Book 2),Who is Zero?,Kgalalelo Moncho,Romance / Action
Butterfly Enigma I,"Kallima Satudotter grew up in England, but, after her mother's death, a boarding school offers to take the girl in. The problem? The school is in the Fairy Realm, and only fae can get there.",Britney Morgan,Fantasy / Drama
Ms. Clumsy,“Yeah. Tell me a day where Ms. clumsy doesn’t do her job. Ugh why does it always happen to me!”,Zoha Zahara,Humor / Romance
Emergence: Hydra Chronicles Book 1,"Blending fantasy and sci-fi, Emergence sees a time in the near future where our very existence is at risk.",JamesP41,Scifi / Action
AYISHA,Ayisha was nine years old when she resumed duties as a house help in Alhaji Musa Idris’ household two years earlier.,Adamu Usman Attaboh,Adventure / Drama
Until I Met You,"Angel, a sweet bystander falls in love with her best friend in high school, but then he vanishes. reconnected 10 years later Halex, who carries a secret that could get them both killed rejoins her.",AnahRose,Romance / Thriller
"The Jewel of the Sands, (Book 1 of the Vicelord Chronicles)","An outcast child wanders the realms of the Underdark, haunted by her heritage and a power that she cannot understand.",Ely Cady,Fantasy / Adventure
Threefold,Logan Matthews never believed in magic but when he is able to walk again after coming into contact with a mysterious blue gem he finds himself in the middle of a battle to save two worlds.,L.E McMurray,Fantasy / Adventure
Number One Fan,"A female news reporter received a phone call from someone called Number One Fan. His message: ""Make me Number One or else someone will die..."" Too bad, she dismissed it as prank call.",Issa,Romance / Mystery
We the People Are Good to Eat,"In a fatally overpopulated future Earth, all that the people have to eat is each other, and they thank God for every meal.",MrBillyD,Scifi / Adventure
Red Viper,"I stared, horrified, as Goliath's eyes slowly turned to red. Blood loss made me dizzy, but I could still think and talk. ""How...is..that...possible?"" I gasped. I was in for it now.",Desiree Burhans,Fantasy / Thriller
Truce,Can Kaia Sawyer save her old best friend from a life he doesn't want to live? Can Jacob Beck save Kaia from a life she doesn't think is worth living?,saladasandvegemite,Romance / Humor
Saving Ransom,"All Ransom had ever known was pain and humiliation;he'd learned at a young age to expect only those two things from people. Until he met Adam. With Adam, he found someone who could save him.",Cheyenne Bennett,Drama / Romance
Bag Men: 2069,"Your parents taught you the world ended in 2027, that we built a new one from the ashes of apocalypse. What if I told you the zombies never left, but they changed—that they can think, feel… talk?",J.R. Traas,Romance / Action
Death Leaders (Book 1),"Chris is a supernatural being who systematically and humanely kills in order to prevent Earth's overpopulation. But Chris's next assignment threatens to bring his world to a striking, abrupt end.",KendraHadnott,Fantasy / Scifi
Waking Up Dead,"Detective Cadence Riley never believed in ghosts, until she became one. Her new job is to make sure ghosts don't give away to much to the living, but a newly released demon threatens everything.",Lisara,Horror / Fantasy
The Dragon's Power,"Luke Smith contains a powerful gene called the U-Gene, which allows certain humans to wield alien technology. Pangea Academy comes into contact with an enemy Academy. Will Pangea survive the assault?",Jarak_Ransom,Scifi / Action
The Diamond,"With a gun from her past pointed at her head, Lorie Preston realizes being married to a ghost has its downsides. The gripping sequel to Battle of Wills.",Marolyn Caldwell,Mystery / Fantasy
An Assassin's Loyalties,"After the murder of her mother, Sazami Altileth flees to the kingdom of Valinor to escape her father. Now the king's greatest assassin, her loyalties will be tested as she faces the demons of her past",KeshaRocks,Romance / Adventure
Traveler - The Runaway(Book 1),"The action starts in the small town Vals, from where Josephine is forced to run when she finds out that she is adopted. She enters the supernatural world, and she needs to adapt quickly.",lsteffie,Fantasy / Mystery
Rogue Waves,"Classic case of wrong place at the wrong time. Sienna’s only hope of survival is Agent, Colt Masters. Colt and Sienna must work together to solve the case, but first, they must trust each other.",J.A. Anderson,Romance / Adventure
Arabelle Storm - First Breath,Magick. love and danger beyond measure are what you can expect as a member of the Storm family. The modern world isn't ready for this ancient evil that threatens. to emerge.,Lysa McClernon,Romance / Fantasy
The Valley of Fear,"Sherlock Holmes gets a message written in code than a man named John Douglas is about to be murdered. Shortly after, Inspector MacDonald arrives to tell Holmes that it has happened.",Arthur Conan Doyle,Thriller / Mystery
Book Two: The Moon Will Fall,"When infamous synesthete, Rogue, is captured by the enemy, Zaria is forced to take matters into her own hands in order to rescue her. But what can she do when things are not as simple as they seem?",Tavyn Gentry,Action / Scifi
Mangoes by the Rivershore,"He fell in love with her when he was sixteen and was sent away because of that love. Now that he is forced to return, he searches for her but he is unsure what he should do when he finds her.",Stormy Girl,Romance / Drama
Wilde Ones,"Marceline Grey is forced to run from her home in Louisiana when the supernatural brings new traumas to her life. Lost in a small, unknown town, she struggles with the animalistic nature of the world.",Jessica Kendrick,Fantasy / Adventure
Our Secrets,"Rosetta and Kyle meet and fall in love, but then he becomes a movie star, and for her own protection Rose is hidden from the public eye, will your love survive through all of the hardships?",Buffy_The_Vampire,Romance / Fantasy
Beacons,"A teenager, a marine, and conspiracy theorist have nothing in common save for the fact that they are watching their world fall to an insidious alien invasion. And they all dream of an Island; but why?",Katie Masters,Scifi / Thriller
"Missing, Confused and Falling","Soft music played in the bar, Debra sat alone drinking a glass of Whiskey on the rocks. Aileene left her parents place in the Northern Beaches, and drove off towards her fiancé Marc Reynolds’ place.",Lucia Henao,Romance / Drama
Hero's Comeback,"Sebastian, a super villain for hire, receives a job from a well known super hero. Unknown to him, with his acceptance, a plan has been set in motion that will push him to his very limits.",LexWrites,Fantasy / Action
Run Flicka Run,"They say crime does not pay? For shop owner Sophie Johnson it sure does. Not that speeding counts as a crime, but one look at the traffic cop approaching her car and she is ready for the handcuffs..",Jeri Callaway,Romance / Action
R-3199,Prison... not the best place to make friends. R-3199 chronicles the lives and tribulations of prison life and how not everything is as it seems.,Rohit Jayaram,Thriller / Drama
This Little Piggy...,"A life reversed. Plunged into a tumultuous world of crime and injustice by his own doing, middle-aged business man Terry Hunter must fight or perish.",SteveGee,Thriller / Mystery
VAMPIRE'S LADY,"Rebecca Sweet is the sweetest girl in school; at least, until she finds herself caught in a game that will see her squaring off against a would-be killer - but it's just a game ... isn't it?",robertarmstrong6,Thriller / Horror
Bullied,"Meet Kylie, a girl who is bullied daily. In her own words: ""Every day is the worst day of my life. And it only gets worse. Why does everyone hate me?"" Can the new guy save her from self-destruction.",Krystle Byrd,Drama
After The Harvest,"Lucy Fletcher is doing fine until new neighbour, James Scott, crashes into her life. Now she’s in danger of losing everything—including her heart.",DarylB,Romance / Drama
The Beginning of Forever,"""Never again can we be seperated for any amount of time. Never before have I been in love, so please be patient with me, Cass.""",candacedowdsauthor81,Romance / Other
"Dear Diary,",Honey Addams. An average girl with above average grades and above average parents. Damien. Sort of average boy. Mysterious. Dangerous. Enticing. What happens when the two of them collide?,xxxheartlandxxx,Romance
Tales of Aranea: Of Frost and Ash | Part I,"Because of a gruesome childhood, Evelyn is a woman unlike any other. When, out of fierce devotion, she joins the war against Esterden, she meets someone who transforms her cold heart.",Amily Cabelaris,Fantasy / Drama
Unscripted,"Out of her depth and out of breath, a tangled love affair in post Killing Fields Cambodia could be the last thing CJ Harva needs. Or could it be just enough to give a new meaning to her life?",garrisonc,Other / Adventure
Half-Blind Heroes [Under Reconstruction],It was almost as if she wanted me to see her use her powers. It was almost as if it were a test. But what was she testing me for?,Beklet,Action / Scifi
Catching the Wind: Book 2,"When fate forces you're hand, what can you do? When said fate persuades you to kill you're true love what will you do to try and stop it?",Madison DiMercurio,Romance / Fantasy
Our Time,"Washington, D.C. in the mid-1950s was a city in turmoil. Discrimination would outlive another war. Diana and Andrea, two black women on a journey to find happiness in a world full of hate.",Babettew54,Drama / Romance
Awakening of the Dream Riders,Can they master their extraphysical abilities in time to prevent the tragedy that's been foreseen?,Lynda Louise Mangoro,Adventure / Fantasy
Viral Fear,What is more deadly disease or fear?,Robert_Aardvark,Thriller / Action
The Break Up Planner,"Poppy Hart always thought that she would make money by working a 9-5 job, she never would have thought that planning Break ups would take the cake.",Oliviachryszl,Romance / Humor
The Hidden Truth (Book 1 of The Hidden Truth Series),"Estrella Alice Montgomery is an orphan girl who knows nothing about her past. She has been told that her mother and father are both dead, but Alice has other thoughts.",Kaela Murphy,Adventure / Fantasy
Favorite Form: First Meetings,When life gives you lemons you make lemonade but what if it flings you to the farthest reaches of space?,Safieri,Scifi / Romance
Hell Off-World,"On a planet, abandoned for thousands of years, an intrepid crew of environmental analysts will discover creatures and phenominon which defy explanation.",Sean Czechowicz,Scifi / Adventure
Schizophrenia,The secrets held behind the walls of Mills Mental Institution will trigger your mind to lose itself without a second thought. You'll be lucky if you leave with a beating heart and stable mind in you.,Sxmmy,Scifi / Horror
Unwanted Renovation,The one house on the street that needs a makeover doesn't want it.,KreyAtiv,Horror
Power to the Players,"Beck Smith's senior year was supposed to be epic. This was her last year to get things right. That is, until Natalie Hudson moves to town, Game over.",Tori M. Pack,Romance / Drama
The Symphony of Life,"In a life filled with tragedy and heart break, can a single day be enough time to find meaning and value?",Harry Wyatt,Romance / Thriller
Daedalus Reunion,This little story was once part of something my father started years ago when Stargate SG1 was in season 10. Sadly due to ill health he never had the chance to finish it. I'm going to do that!.,Ravenhawk,Scifi
The Gates of Avaelon,What do you do when what you thought was your childhood imaginary friend turns out to be not so imaginary?,Margaret Fisher,Fantasy / Romance
Spare,"For some kids, fitting in's hard but Dawn really is a spare part, a whole body full of them. When her 'medicine' runs out, she discovers she must escape her fake family or she will fit in, bit by bit.",Jan Carr,Thriller / Children
Dark Angel,"My door was ripped off its hinges, making me jump which only brought more pain. Vega stood there completely dry with a smirk plastered on her full, pink lips. My eyes filled with horror",Niki Contreras,Fantasy / Romance
Warrior,Lilith wakes to find herself propelled a thousand years after the mass destruction of earth. How did she get here? How will she get back and why is she so important?,aarca,Romance / Drama
Dibs!,"The girl rumored to be a drug addict calls dibs on Callie Tosh, a girl with anxiety. Callie has a feeling it's not going to go over well.",WordArtist,Humor / Romance
The Child from Hell,"Hell: (Noun) a place regarded in various religions as a spiritual realm of evil and suffering, often traditionally depicted as a place of perpetual fire beneath the earth where the wicked are punished",Taylor1004,Drama / Romance
Curtains,"Tech week has begun for the show Curtains. However, during the first day of tech week, actors and crew start turning up dead. Can the show be saved?",Irene Winters,Mystery / Thriller
No One Comes Close,It's New Year's Eve 1986. Julie is in an unhappy marriage and she's waiting to hear from Ron whom she hasn't seen of heard from for twenty years.,Julie Newman,Other / Romance
Deceptive Beauty,"This book is a work of fiction. Names, characters, businesses, organizations, places, events, and incidents either are the product of the author’s imagination or are used fictitiously.",Dawn White,Romance / Adventure
Lady Juliana's Scandalous Duke,"After being in an accident that took her memory, Lady Juliana Hatfield has no clue what happened to her. Help comes to her in a most unusual way, from the Duke of Dunsbury, a very notorious rake.",Jessica Anne Clements,Romance
Bladewarriors Book 1: Refresh,"8 Blades of untold power. 4 wielders, thrust into adventure. 1 impossible quest. When the Gods fall, and the world is left in the cruel hands of a beast, can these warriors find a way to survive?",John Hall,Fantasy / Adventure
The Purge,We are the leviathan of the aliens. We are the Children of the Comet. We are the champions of the after earth. We will protect the Gates. And each of us will try to survive The Purge.,BelleBurns,Scifi / Action
Trouble,"What exactly are you supposed to when someone has threatened your loved one? Sean is faced with this difficult question, and many others when he falls in love with Wyatt Lanning. So what is he to do?",RedHeadedTyrant,Other / Romance
Trapped (Trapped Trilogy Book 1),Eenralla Land lives in a Dome. That Dome is run by the Government. The Government has a secret. A secret Eenralla gets herself entangled in. It all started when she touched the wall...,K. Weikel,Scifi / Romance
Hiding Behind A Mask (The Maskless Trilogy #1),"There is a place full of shame and hatred Where people hide their torn faces They cower behind masks and close themselves off And they're told not to come out, no matter the scoff",K. Weikel,Thriller / Scifi
Keep Your Enemies Closer,"Todd Michaels is the billionaire playboy of the Michaels family of Austin, Texas. h encounters Samantha “Sam” Winslow, a relentless, surprisingly astute up and comer in Minnesota,",Ryleigh,Romance / Drama
Orchestrated,"Detective Paul-Wayne Collins is having a bad week, which includes IAs, the Mob, FBI, family, and a dead girl.",AndyW,Thriller / Mystery
Death and all His Friends,"Tegan is haunted by dreams of a forest, a little boy and a ghost from her past. What she least expected was to get in the middle of a fight between a bunch of weirdos from the afterlife.",CoffeeAndDonuts,Humor / Mystery
Macabre Minds,An inside into the darkness of the human mind. A collection of fifteen horror stories.,auntyheart,Horror
American Samurai: Hatamoto,"Yes, there are a few Samurai still out there. These modern day warriors are just as loyal as the Samurai of old. But none are as fierce as the Hatamoto.",KirkVanDegrift,Action / Adventure
Dreams of Beautiful Whisper,"A coming of age story that makes you ask 'what if?', with the type of magic that falls within the realm of possibilities and characters that you come to love unconditionally.",Tanya Jones,Fantasy / Romance
The Lost Souls of Gilfords Falls,"Twelve years ago, six children vanish from Mary's Garden, situated on the lavash Gilfords Estate.. Now one of them is back and she is not alone . . . .",NRF,Adventure / Mystery
Divine Purpose,"Demons are real, so are angels. We forget this sometimes but I can't because I was chosen by God to defeat the plague of monsters taunting humankind. We all are chosen. Only we can change our future.",Lavinia Bolog,Thriller / Humor
The Hybrid Mate,He will see the monster he made me be. The real monster that many mothers or grandmothers told their children before going to sleep. The story where there’s no happy ever endings.,yamilethl,Romance / Action
Dragonford - The Long Highway,"Trailblazing into the frontier, these veterans of war must survive the monsters and dangers of the wilderness, and the legacies of betrayal that they carry with them.",Brendan Thompson,Fantasy / Adventure
Love Happens,"Everyone has some or the other tragic in their lives at least once. Even I had mine, but as they say “everything happens for a reason” seriously I would like to know the reason sometime...",choco_brownies_lover,Romance / Scifi
Changeling,"Cheat when you can and don’t get caught. Changeling is the fantasy story that has fairies, humans and murder. There doesn’t always have to be a happy ever after.",Bertie the Redwood,Horror / Fantasy
Keep the Beat,"May learned to embrace herself and let go of the past plus she’s looking forward to her next round at camp, which is now called Turn Up The Beat. Well that is until she finds out that her arch enemy,",CailinSpraoi,Humor / Romance
EVIL WAYS,"If you had a second chance to reunite with your soulmate, even if they were married, would you?",Rich Stachura,Thriller / Drama
Twin Graves,"Having a broken family, financial issues and distress, Hailey tries to live like she was the complete opposite of her true self but the one who changed her may not be living at all anymore...",shychotc,Thriller / Romance
What it Means to Burn,"Caught in a fit of rage at the implication that he should have to, in any way, conceal his feelings for me, the one girl that he considered to be perfect; Aiden slammed his fist on the night stand,",cassiesilvester,Thriller / Horror
iMortal,What would happen if an immortal turned up on YouTube.,NJ Thompson,Drama / Scifi
Baby Farm: The Story of Alec Thorn (Baby Farm Book 1),"Alec Thorn the very first half breed born into the Coven of Kings. He is raised by his adoptive parents, and has no idea who his biological parents are.",Kayresia A. Bass,Fantasy / Drama
Elle (Ancient Blood Book 1),A woman found on the side of the road bleeding finds out who she is through trials and tribulations that lead her to the City of the Sun.,Heather Glidewell,Fantasy / Romance
The UnNameables,"After a second, her head snapped back around and she walked purposefully to the locked front doors. She knelt before them and her eyes flashed. Immediately, the intricate locks unlocked.",djv007,Adventure / Romance
Fission of Souls,"I wanted to scream, throw things to let out the building tension. I had been born this way, born to be a monster; to a life of stolen pleasures and blood. Was I selfish for wanting someone at my side?",Isabella Lunawood,Fantasy / Romance
The Night's Eye,"What if you awoke with a clairvoyant connection to all serial killers, along with the discovery that all share a unique mark? The same mark you now possess....",JA_Hamilton,Thriller / Horror
Complicated Feelings [BOOK ONE] ✔,"I take Clara's hand and the heartbeat speeds up. Everyone runs in and Clara's eyes fly open. Her brown eyes meet my blue ones and she smiles. ""Layne,"" Clara breathes.",nogitsune_anime_chey,Other / Drama
The Cougar Diaries Part III,I was in every mother’s nightmare: teenage son about to enter final year in school with important exams and all of a sudden his equally teenage girlfriend is pregnant.,Erotica Darling,Romance
Love For Janie,"Janie think she believes she has finally found the love of her life, but first she needs to deal with the kind hearted neighbors that are lurking behind curtains.",sherryaraby,Romance / Drama
Burning Moth,"Keep our secrets, and we'll keep yours.",letmelivetonight,Romance / Action
Underfoot,"In a future where drugs alter memories and suspects are convicted for crimes committed in dreams, the Earth is split into two societies which are unaware of each other; those above and those below.",Timerie Blair,Thriller / Scifi
Vanished,"Nadine Nixon does not believe in love in first sight, until she see a mysterious stranger. One fateful night their paths do meet in extreme conditions leaving one of them fighting for survival.",D.D.Goordin,Thriller / Romance
Racing Hearts,Drew Jaymes and Nicole Bennett are lovers who reconnect after 11 years. Racing Hearts if their story of finding your first love all over again with quite a bit of adventure along the way.,Charley Manning,Romance
Sinful Cinderella,A fractured fairy tale that twists the story of Cinderella into a dark and sinister retelling.,Anita Valle,Fantasy / Humor
World Apart,"Sharing only their distant human ancestry and unwavering wills to survive, 3 heroes from separate worlds are coerced by alien forces into a war that may destroy mankind or unite it like never before.",C.J. Connor,Scifi / Action
Deception by Proxy,"A ruthless villain marries your dying sister and comes into your family. You would kill him to protect them, but cannot. You are caught in his spell. Then your sisters conspire to have him seduce you?",johnksutherland,Mystery / Romance
The Golden Curse,Gilda was raised to be afraid of the monsters in the forest. But what if it’s them who need to be rescued? What if everything she knows to be true is a carefully constructed web of lies?,Queen of the Nerds,Fantasy / Romance
BOONE - Part 1 of the HMB Doggie Series,Only mans best friend can save Sal Germano from a life of loneliness...and possibly losing her freaking mind.,Sarah Gage,Humor / Romance
Love is a Pretty Tragedy,"Henry always wanted what was best for Estelle. He knew he was putting her at risk each moment. What if she found out? While, Estelle believed nothing could break them apart, but what about his secret?",Charmedmiss,Romance / Drama
Fix Me,"It’s so blue. So, very blue. A lovely morning for a suicide.",theindigojackalope,Drama / Romance
Baskergrand The Nautilus,"England, 1851. Socialite Percival Gray Baskergrand's life changes when he discovers a mysterious suit. A suit that bears on its chest the name Nautilus. But where did this suit come from?",S.C.Stone,Scifi / Romance
The Tree of Blood,"Written from the perspective of vampires in 19th Century English Court. A tale of forbidden love, secret affairs, consequences of one's choices, the pain of being duty-bound, and that life isn't fair.",LittleQuill,Romance
The Lying Truth,"In one night, a party, a spiked drink and dreams that seemed more real than fantasy began the lies and secrets of Abigail Curtis. Trying to find her way back meant facing the truth about her lies.",R Gina Davis,Drama / Romance
Not at Liberty,"Helping her doctor friend with stolen computer files, savvy lawyer Liberty Sloane finds mystery, mayhem and murder when the doctor winds up dead.",Marva Dale,Mystery / Action
Paranatural Detective Agency Vol. 1,"Sitting in a circle on dirty rotten chairs were two females, their heads lowered, unmoving. The man switched his flashlight on and aimed it at the two females who then stared at him, their faces pale",Michael McManus,Horror / Thriller
